date,dem,state,agency
2014-06-06,53.144,US,nyt
2014-06-07,45.2704,US,nyt
2014-06-08,45.322,US,nyt
2014-06-09,45.2316,US,nyt
2014-06-10,44.562,US,nyt
2014-06-11,44.7092,US,nyt
2014-06-12,42.2916,US,nyt
2014-06-13,41.0056,US,nyt
2014-06-14,38.6244,US,nyt
2014-06-15,38.2464,US,nyt
2014-06-16,39.9632,US,nyt
2014-06-17,39.9612,US,nyt
2014-06-18,42.8108,US,nyt
2014-06-19,44.4004,US,nyt
2014-06-20,43.7704,US,nyt
2014-06-21,43.6016,US,nyt
2014-06-22,43.7228,US,nyt
2014-06-23,43.7568,US,nyt
2014-06-24,43.9628,US,nyt
2014-06-25,42.1572,US,nyt
2014-06-26,42.2484,US,nyt
2014-06-27,42.772,US,nyt
2014-06-28,42.748,US,nyt
2014-06-29,42.4948,US,nyt
2014-06-30,42.7772,US,nyt
2014-07-01,44.6748,US,nyt
2014-07-02,45.5268,US,nyt
2014-07-03,45.7372,US,nyt
2014-07-04,45.806,US,nyt
2014-07-05,45.7728,US,nyt
2014-07-06,46.062,US,nyt
2014-07-07,45.824,US,nyt
2014-07-08,46.228,US,nyt
2014-07-09,44.2516,US,nyt
2014-07-10,43.8732,US,nyt
2014-07-11,47.102,US,nyt
2014-07-12,46.886,US,nyt
2014-07-13,47.0976,US,nyt
2014-07-14,46.8672,US,nyt
2014-07-15,48.6236,US,nyt
2014-07-16,45.9244,US,nyt
2014-07-17,40.7908,US,nyt
2014-07-18,42.9956,US,nyt
2014-07-19,43.1356,US,nyt
2014-07-20,43.2564,US,nyt
2014-07-21,44.3488,US,nyt
2014-07-22,44.4304,US,nyt
2014-07-23,47.0444,US,nyt
2014-07-24,47.4928,US,nyt
2014-07-25,44.7004,US,nyt
2014-07-26,44.4344,US,nyt
2014-07-27,39.6608,US,nyt
2014-07-28,44.5496,US,nyt
2014-07-29,45.23,US,nyt
2014-07-30,45.6652,US,nyt
2014-07-31,45.7148,US,nyt
2014-08-01,46.4572,US,nyt
2014-08-02,46.6048,US,nyt
2014-08-03,46.6992,US,nyt
